127.0.0.1 - - [05/Sep/2018:14:44:14 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:44:17 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:44:17 +0900] "GET /sample-web/css/style.css HTTP/1.1" 200 8747
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:44:17 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:44:19 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 9429
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:50:22 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:50:24 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:50:24 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:50:24 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:50:24 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:53:58 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5719
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:53:58 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:53:58 +0900] "GET /sample-web/images/sample.jpg HTTP/1.1" 200 1168307
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:53:59 +0900] "GET /sample-web/ProductDetailsAction.action?productId=2 HTTP/1.1" 200 5832
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:53:59 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
